"word","definition"
"agrometeorology","The study of the interaction between meteorological and hydrological factors, on the one hand, and agriculture in the widest sense, including horticulture, animal husbandry and forestry, on the other.\n(Source: EURMET)"
"AIDS","A disease of the human immune system caused by the human immunodeficiency virus (HIV)."
"air","A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere."
"air","To expose to fresh air."
"air","To send data over the airwaves, as in radio or television."
"air","An expression or appearance indicating a certain state of mind."
"air","A succession of notes forming a distinctive sequence."
"air","The space above the earth's surface where planes fly."
"air","To expose to cool or cold air so as to cool or freshen."
"air conditioning","A system or process for controlling the temperature and sometimes the humidity and purity of the air in a house, etc."
"aircraft","A vehicle, designed to be supported by the air, either by the dynamic action of the air upon the surfaces of the structure or object or by its own buoyancy.\n(Source: MGH)"
"aircraft noise","Noise caused by various sources associated with aircraft operation, such as propeller and engine exhaust, jet noise, and sonic boom."
"air movement","Air movements within the Earth's atmospheric circulation; also called planetary winds. Two main components are recognized: first, the latitudinal meridional component due to the Coriolis force (a deflecting motion or force discussed by G.G. de Coriolis in 1835. The rotation of the Earth causes a body moving across its surface to be deflected to the right in the N hemisphere and to the left in the S hemisphere); and secondly, the longitudinal component and the vertical movement, resulting largely from varying pressure distributions due to differential heating and cooling of the Earth's surface.\n(Source: WHIT)"
"air pollutant","Any pollutant agent or combination of such agents, including any physical, chemical, biological, radioactive substance or matter which is emitted into or otherwise enters the ambient air and can, in high enough concentrations, harm humans, animals, vegetation or material.\n(Source: LEE /  TOE)"
"air pollution","Presence in the atmosphere of large quantities of gases, solids and radiation produced by the burning of natural and artificial fuels, chemical and other industrial processes and nuclear explosions."
"airport","A landing and taking-off area for civil aircraft, usually with surfaced runways and aircraft maintenance and passenger facilities."
"air quality","The degree to which air is polluted; the type and maximum concentration of man-produced pollutants that should be permitted in the atmosphere.\n(Source: ALL /  WRIGHT)"
"air quality control","The measurement of ambient air-pollution concentrations in order to determine whether there is a problem in a given region.\n(Source: CONFERa)"
"air safety","Any measure, technique or design intended to reduce the risk of harm posed by either moving vehicles or projectiles above the earth's surface or pollutants to the earth's atmosphere."
"air temperature","The temperature of the atmosphere which represents the average kinetic energy of the molecular motion in a small region and is defined in terms of a standard or calibrated thermometer in thermal equilibrium with the air."
"air traffic","Aircraft moving in flight or on airport runways."
"air traffic law","International rules and conventions relating to air transportation."
"air traffic regulation","Rules and regulations that govern civil and military air traffic."
"air transportation","The use of aircraft, predominantly airplanes, to move passengers and cargo."
"alarm","The act of signalling an impending danger in order to call attention to some event or condition."
"alarm","A signal given to call attention to some event or condition which may be an impending danger."
"alcohol","A group of organic chemical compounds composed of carbon, hydrogen, and oxygen. The molecules in the series vary in chain length and are composed of a hydrocarbon plus a hydroxyl group. Alcohol includes methanol and ethanol.\n(Source: EIADOE)"
"alcohol","A flammable, colorless liquid which is used amongst others as solvent, disinfectant and intoxicant."
"alcohol","A drink (a liquor or brew) containing ethanol, commonly known as alcohol."
"alga","Simple, green, aquatic plants without stems, roots or leaves. They are found floating in the sea and fresh water, but they also grow on the surface of damp walls, rocks, the bark of trees and on soil.\n(Source: WRIGHT)"
"algal bloom","Excessive and rapid growth of algae and other aquatic plants. It takes place when there are too many nutrients in the water through pollution from agricultural areas, i.e. higher levels of nitrogen and phosphates."
"algicide","Any substance or chemical applied to kill or control algal growth."
"alicyclic compound","Any substance composed of two or more unlike atoms held together by chemical bonds characterized by straight-chained, branched or cyclic properties."
"alicyclic hydrocarbon","A class of organic compounds containing only carbon and hydrogen atoms joined to form one or more rings and having the properties of both aliphatic and cyclic substances.\n(Source: MGH /  RRDA)"
"aliphatic compound","Any organic compound of hydrogen and carbon characterized by a straight chain of the carbon atoms.\n(Source: MGH)"
"aliphatic hydrocarbon","Hydrocarbons having an open chain of carbon atoms, whether normal or forked, saturated or unsaturated.\n(Source: MGH)"
"alkali land","Any geomorphic area, often a level lake-like plain, with soil containing a high percentage of mineral salts, located especially in arid regions.\n(Source: MHD / RHW)"
"alkali soil","Soil that contains sufficient exchangeable sodium to interfere with water penetration and crop growth, either with or without appreciable quantities of soluble salts.\n(Source: LANDY)"
"alkane","Paraffins. A homologous series of saturated hydrocarbons having the general formula CnH2n+2. Their systematic names end in -ane. They are chemically inert, stable, and flammable. The first four members of the series (methane, ethane, propane, butane) are gases at ordinary temperatures; the next eleven are liquids, and form the main constituents of paraffin oil; the higher members are solids. Paraffin waxs consists mainly of higher alkanes.\n(Source: UVAROV)"
"alkane","Member of the homologous series of saturated hydrocarbons having the general formula CnH2n+2."
"alkyl compound","Compound containing one or more alkyl radicals."
"allergen","Any antigen, such as pollen, a drug, or food, that induces an allergic state in humans or animals.\n(Source: MGH)"
"allergy","A condition of abnormal sensitivity in certain individuals to contact with substances such as proteins, pollens, bacteria, and certain foods. This contact may result in exaggerated physiologic responses such as hay fever, asthma, and in severe enough situations, anaphylactic shock.\n(Source: KOREN)"
"allocation","The assignment or allotment of resources to various uses in accord with a stated goal or policy.\n(Source: ODE)"
"alloy","Any of a large number of substances having metallic properties and consisting of two or more elements; with few exceptions, the components are usually metallic elements."
"alluvion","An overflowing; an inundation or flood, especially when the water is charged with much suspended material.\n(Source: BJGEO)"
"alpha radiation","A stream of alpha particles which are ejected from many radioactive substances having a penetrating power of a few cm in air but can be stopped by a thin piece of paper."
"alternative technology","Technology that aims to utilize resources sparingly, with minimum damage to the environment."
"alumina","A natural or synthetic oxide of aluminum widely distributed in nature, often found as a constituent part of clays, feldspars, micas and other minerals, and as a major component of bauxite."
"alveolus","A tiny, thin-walled, capillary-rich sac in the lungs where the exchange of oxygen and carbon dioxide takes place."
"amalgam","A solution of a metal in mercury."
"Americas","Continent which extends on a great part of the Occidental Hemisphere of the Earth, from the Artic Ocean in the North, to the Cape Horn in the South at the confluence of the Atlantic and Pacific Oceans, which delimits the continent on the East and West respectively."
"Ames test","A bioassay developed by Bruce N. Ames in 1974, performed on bacteria to assess the capability of environmental chemicals to cause mutations."
"amine","One of a class of organic compounds which can be considered to be derived from ammonia by replacement of one or more hydrogens by organic radicals.\n(Source: MGH)"
"amino acid","Organic compounds containing a carboxyl group (-COOH) and an amino group (-NH2). About 30 amino acids are known. They are fundamental constituents of living matter because protein molecules are made up of many amino acid molecules combined together. Amino acids are synthesized by green plants and some bacteria, but some (arginine, histidine, lysine. threonine, methionine, isoleucine, leucine, valine, phenylalanine, tryptophane) cannot be synthesized by animals and therefore are essential constituents of their diet. Proteins from specific plants may lack certain amino acids, so a vegetarian diet must include a wide range of plant products.\n(Source: ALL)"
"ammonia","A colorless gaseous alkaline compound that is very soluble in water, has a characteristic pungent odour, is lighter than air, and is formed as a result of the decomposition of most nitrogenous organic material."
"ammonification","Addition of ammonia or ammonia compounds, especially to the soil."
"ammonium","A positively charged polyatomic cation of the chemical formula NH4+ formed by protonation of ammonia (NH3)."
"amphibian","A class of vertebrate animals characterized by a moist, glandular skin, gills at some stage of development, and no amnion during the embryonic stage.\n(Source: MGH)"
"amusement park","An open-air entertainment area consisting of stalls, side shows etc.\n(Source: CED)"
"analysis","The mathematical study of functions, sequences, series, limits, derivatives and integrals."
"analytical chemistry","The branch of chemistry dealing with techniques which yield any type of information about chemical systems.\n(Source: MGH)"
"analytical method","Method to analyse the performance of a process or system."
"anatomy","The science concerned with the physical structure of animals and plants."
"angiosperm","The division of seed plants that includes all the flowering plants, characterized by the possession of flowers. The ovules, which become seeds after fertilization, are enclosed in ovaries. The xylem contains true vessels. The angiospermae are divided into two subclasses: Monocotyledoneae and Dycotiledoneae.\n(Source: ALL)"
"angling","The art or sport of catching fish with a rod and line and a baited hook or other lure, such as a fly."
"animal disease","A disease that is mainly found in certain animals (and not in plants or humans)."
"animal ecology","A study of the relationships of animals to their environment.\n(Source: MGH)"
"animal experiment","Investigation carried out in animals for research purposes."
"animal genetics","The scientific study of the hereditary material of animals for theoretical and practical applications such as increased population, conservation and disease research.\n(Source: EEN)"
"animal housing","Any kind of shelter, refuge affording protection to animals."
"animal husbandry","A branch of agriculture concerned with the breeding and feeding of domestic animals.\n(Source: MGH)"
"animal manure","Animal excreta collected from stables and barnyards with or without litter; used to enrich the soil.\n(Source: MGH)"
"animal noise","Noise caused by animals such as dogs kept in kennels or in private homes as pets."
"animal nutrition","Ingestion, digestion and/or assimilation of food by animals."
"animal physiology","Study of the normal processes and metabolic functions of animal organisms.\n(Source: LBC)"
"animal protection","Precautionary actions or procedures taken to prevent or reduce the harm to sentient, non-human species, posed, in most cases, by humans."
"animal for slaughter","Animals bred and killed for the production of food."
"animal shelter","A protection providing housing for animals in bad weather. (Source: RRDA)"
"animal shelter","A facility that houses homeless, lost or abandoned animals; primarily a large variety of dogs and cats and other animals used as pets."
"animal","Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals."
"animal","Any living organism of the Animalia reign except human"
"animal","Of or relating to animals."
"animal trade","The process or act of exchanging, buying or selling animals, especially livestock."
"anion","An ion that is negatively charged."
"annelid","An animal member of the phylum Annelida."
"antagonism","The situation in which two chemicals upon interaction interfere in such a way that the action of one partially or completely inhibits the effects of the other."
"Antarctica","A continent lying chiefly within the Antarctic Circle and asymmetrically centered on the South Pole."
"Antarctic ecosystem","The ecosystem of the antarctic region of planet Earth."
"Antarctic Ocean","The waters, including ice shelves, that surround the continent of Antarctica, which comprise the southernmost parts of the Pacific, Atlantic and Indian oceans, and also the Ross, Amundsen, Bellingshausen and Weddell seas."
"Antarctic region","An area within the Antarctic Circle that includes the fifth largest continent and its surrounding waters, consisting mostly of thick ice shelves.\n(Source: INP / CIA)"
"anthropic activity","Action resulting from or influenced by human activity or intervention."
"anthropologic reserve","Area of protection of the life style of societies where traditional human activities are still maintained and the exploitation of natural resources is still carried out without compromising the future availability."
"antibiotic","A chemical substance, produced by microorganisms and synthetically, that has the capacity to inhibit the growth of, and even to destroy, bacteria and other microorganisms."
"antibody","A complex protein that is produced in response to the introduction of a specific antigen into an animal. Antibodies belong to a class of proteins called immunoglobins, which are formed by plasma cells in the blood as a defence mechanism against invasion by parasites, notably bacteria and viruses, either by killing them or rendering them harmless.\n(Source: ALL2)"
"anticipation of danger","The act of foreseeing, expecting and taking measures against possible future exposure to harm, death or a thing that causes these.\n(Source: ISEP)"
"apartment block","An apartment building in which each apartment is individually wholly owned and the common areas are jointly owned."
"apiculture","The agricultural practice of intentional maintenance of honey bee colonies."
"appeal","Resort to a superior court to review the decision of an inferior court or administrative agency."
"appeal","Request turned to an administrative or judicial organ in order to obtain the review or revocation of an action or provision."
"appeal","To take a court case to a higher court for review."
"appeal procedure","Procedure through which it is possible to resort to a superior court to review the decision of an inferior court."
"applied ecology","The application of ecological principles to the solution of human problems."
"applied science","Science whose results are employed in technical applications."
"aquaculture","The cultivation and harvest of freshwater or marine animals and plants, in ponds, tanks, cages or on protected beds."
"aquatic animal","Animal having a water habitat."
"aquatic ecology","The study of the relationships among aquatic living organisms and between those organisms and their environment.\n(Source: ALLa)"
"aquatic mammal","A diverse group of roughly 120 species of mammal that are primarily ocean-dwelling or depend on the ocean for food."
"aquatic organism","Organisms which live in water.\n(Source: PHC)"
"aquatic plant","Plant adapted for a partially or completely submerged life."
"aqueduct","A channel for supplying water; often underground, but treated architecturally on high arches when crossing valleys or low ground."
"aqueduct","Duct for conveying water to a given place."
"aqueduct","Canal or passage in the body in which liquids flow."
"aquifer","Layers of rock, sand or gravel that can absorb water and allow it to flow."
"arable farming","Growing crops as opposed to dairy farming, cattle farming, etc."
"arboriculture","The planting and care of woody plants, especially trees."
"archaeological site","Any location containing significant relics and artifacts of past culture.\n(Source: LANDY)"
"archaeology","The scientific study of the material remains of the cultures of historical or prehistorical peoples.\n(Source: MGH)"
"archipelago","A group of many islands including the waters that surround them.\n(Source: DOE)"
"archipelago","A cluster of several islands."
"architecture","The art and science of designing and building structures, or large groups of structures, in keeping with aesthetic and functional criteria."
"architecture","A specification that identifies components and their associated functionality, describes connectivity of components, and describes the mapping of functionality onto components."
"Arctic Ocean","The smallest and most poorly studied of the oceans on earth. It covers an area of 14 million square km that is divided by three submarine ridges, i.e. the Alpha Ridge, the Lomonosov Ridge, and an extension of the mid-Atlantic ridge. It is also nearly landlocked, covered\nyear-round by pack ice, and the third of its area is continental shelf.\n(Source: OCEAN)"
"Arctic region","The northernmost area of the earth, centered on the North Pole, that includes the Arctic Ocean, the northern reaches of Canada, Alaska, Russia, Norway and most of Greenland, Iceland and Svalbard.\n(Source: INP)"
"distribution area","The overall geographical distribution of a talon."
"armament","The weapons, ammunition and equipment held by a military unit or state."
"armament","The total force held by a military unit or state."
"armed forces","The military units of a state, typically divided by their differing contexts of operations, such as the army, navy, air force and marines."
"aromatic compound","Compound characterized by the presence of at least one benzene ring."
"aromatic hydrocarbon","Hydrocarbon having an unsaturated ring containing alternating double and single bonds, especially containing a benzene ring."
"aromatic substance","Substance having a distinctive, usually fragrant smell."
"arsenic","A toxic metalloid element with symbol As and atomic number 33, existing in several allotropic forms, that occurs principally in realgar and orpiment and as the free element. It is used in semiconductors, lead-based alloys, and high temperature brasses."
"art","The creation of works of beauty or other special significance."
"art","The products of human creativity; works of art collectively."
"art","A superior skill that one can learn by study, practice, and observation."
"art","Photographs or other visual representations in a printed publication."
"arthropod","The largest phylum in the animal kingdom; adults typically have segmented body, a sclerotized integument, and many-jointed segmental limbs.\n(Source: MGH)"
"arthropod","Animal member of the phylum Arthropoda."
"Articulata","Animals characterized by the repetition of similar segments (metameres), exhibited especially by arthropods, annelids, and vertebrates in early embryonic stages and in certain specialized adult structures."
"artificial lake","Lake created behind manmade barriers."
"asbestos","Generic name for a group of fibrous mineral silicates."
"asbestos cement","A hardened mixture of asbestos fibers, Portland cement and water used in relatively thin slabs for shingles, wallboard and siding."
"ASEAN","Association of Southeast Asian Nations. Regional organization of states of Southeast Asia created on august 8th, 1967."
"ash","The incombustible matter remaining after a substance has been incinerated."
"ash","Any of the trees belonging to the genus Fraxinus."
"ash","Wood of the ash tree."
"Asia","The world's largest continent. It occupies the eastern part of the Eurasian landmass and its adjacent islands and is separated from Europe by the Ural Mountains. Asia borders on the Arctic Ocean, the Pacific Ocean, the Indian Ocean, and the Mediterranean and Red Seas in the west. It includes the largest peninsulas of Asia Minor, India, Arabia, and Indochina and the island groups of Japan, Indonesia, the Philippines, and Ceylon."
"assimilation","Conversion of nutritive material to living tissue.\n(Source: KOREN)"
"association","A formal association of people with similar interests."
"astronautics","The science of space flight."
"astronomy","The science concerned with celestial bodies and the observation and interpretation of the radiation received in the vicinity of the earth from the component parts of the universe."
"atlas","A bound collection of maps or charts, plates, engravings or tables illustrating any subject."
"atlas","The most superior (first) cervical vertebra of the spine."
"atmosphere","The gaseous envelope surrounding the Earth in a several kilometers-thick layer."
"atmosphere","Gaseous envelope of a celestial body."
"atmosphere","A store's physical characteristics that are used to develop an image and draw customers."
"atmospheric chemistry","The study of the production, transport, modification, and removal of atmospheric constituents in the troposphere and stratosphere."
"atmospheric circulation","The general movement and circulation of air, which transfers energy between different levels of the atmosphere."
"atmospheric humidity","A measurable quantity of the moisture content found in the earth's atmosphere.\n(Source: RHW)"
"atmospheric model","A simulation, pattern or plan designed to demonstrate the structure or workings of the atmosphere surrounding any object, including the Earth.\n(Source: APD)"
"atmospheric ozone","A triatomic molecule of oxygen; a natural constituent of the atmosphere, with the highest concentrations in the ozone layer or stratosphere; it is found at a level between 15 and 30 km above the Earth, which prevents harmful ultraviolet B radiation, which causes skin cancer and threatens plant life, from reaching the ground. The fragile shield is being damaged by chemicals released on Earth. The main chemicals that are depleting stratospheric ozone are chlorofluorocarbons (CFCs), which are used in refrigerators, aerosols and as cleaners in many industries and halons, which are used in fire extinguishers. The damage is caused when these chemicals release highly reactive forms of chlorine and bromine.\n(Source: GILP96 /  WRIGHT)"
"atmospheric physics","The study of the physical phenomena of the atmosphere."
"atmospheric precipitation","The settling out of water from cloud in the form of rain, hail, snow, etc."
"atmospheric science","The sciences that study the dynamics, physics and chemistry of atmospheric phenomena and processes."
"attribution","Under certain circumstances, the tax law applies attribution rules to assign to one taxpayer the ownership interest of another taxpayer.\n(Source: WESTS)"
"attribution","Act of accrediting an author or an artist for creating a specific work or idea."
"audiovisual media","Any means of communication transmitted to both the sense of hearing and the sense of sight, especially technologies directed to large audiences."
"autoecology","That part of ecology which deals with individual species and their reactions to environmental factors.\n(Source: UNUN)"
"automobile industry","Branch of industry that manufactures automobiles."
"avalanche","A fall or slide of a large mass, as of snow or rock, down a mountainside."
"avalanche","Great quantity of ice or snow that falls down suddenly from a mountain slope while  increasing in volume and speed."
"avalanche protection","The total of measures and devices implemented to protect people, property or natural resources from avalanche conditions, including avalanche forecasting and warning, avalanche zoning, ski testing and the use of explosives and other equipment to stabilize an avalanche area."
"aviation law","International rules regulating air transportation."
"avifauna","All the birds in a particular region."
"background level","Term used in a variety of situations, always as the constant or natural amount of a given substance, radiation, noise, etc."
"background radiation","Radiation resulting from natural sources, as opposed to man-made sources, and to which people are exposed in everyday, normal life; for example from rocks and soil."
"bacterial bed","A device that removes some suspended solids from sewage."
"bactericide","An agent that destroys bacteria."
"bacteriology","The science and study of bacteria."
"banking","Transactional business between any bank and that bank's clients or customers."
"barium","A soft silvery-white metallic element of the alkaline earth group. It has the symbol Ba, and atomic number 56. It is used in bearing alloys and compounds are used as pigments.\n(Source: CED)"
"baseline monitoring","Monitoring of long-term changes in atmospheric compositions of particular significance to the weather and the climate.\n(Source: YOUNG)"
"basic food requirement","The minimum nutriments deemed necessary for a person of a particular age, gender, physiological condition and activity level to sustain life, health and growth."
"basicity","The state of a solution of containing an excess of hydroxyl ions."
"basidiomycete","Any of various fungi of the subdivision Basidiomycota."
"bathing water","A body of water where bathing is permitted."
"battery","A cell or several cells connected together, each cell containing the essentials for producing voltaic electricity."
"bay","(Laurus nobilis) A shrub of the family Lauraceae."
"bay","An open, curving indentation made by the sea or a lake into a coastline."
"bay","To produce a loud, short, explosive sound similar to that of a dog."
"bay","A herb made from a leaf of several of the shrubs of the family Lauraceae."
"bay","A compartment in an aircraft used for some specific purpose."
"beach","A lat, narrow strip of sand, gravel or pebbles along the shoreline of a body of water (ocean, river, lake)."
"beach","To land on a beach; (of animals) to become stranded out of the water."
"beaching","The washing ashore of whales or other cetaceans that have died for natural causes, or because of highly polluted sea water or after being trapped in drift nets."
"bee conservation","The care, preservation and husbandry of hymenopterous insects valued for their ability to pollinate crops and other flora or for their production of honey."
"beef cattle","Cattle bred for the production of meat."
"bee","Any of the membranous-winged insects which compose the superfamily Apoidea in the order Hymenoptera characterized by a hairy body and by sucking and chewing mouthparts."
"bee","The second letter of the Roman alphabet."
"beetle","Any insect of the order Coleoptera, having biting mouthparts and forewings modified to form shell-like protective elytra."
"beneficial organism","Any pollinating insect, or any pest predator, parasite, pathogen or other biological control agent which functions naturally or as part of an integrated pest management program to control another pest.\n(Source: LEE)"
"benthic division","The bottom of a body of water often occupied by benthos.\n(Source: GILP96)"
"benthic ecosystem","The interacting system of the biological communities located at the bottom of bodies of freshwater and saltwater and their non-living environmental surroundings.\n(Source: TOE / DOE)"
"benthos","Those organisms attached to, living on, in or near the bottom of the sea, river bed or lake floor."
"benzene","A colorless, liquid, flammable, aromatic hydrocarbon used to manufacture styrene and phenol. Also known as benzol.\n(Source: MGH)"
"benzopyrene","A five-ring aromatic hydrocarbon found in coal tar, in cigarette smoke, and as a product of incomplete combustion."
"beryllium","A corrosion-resistant, toxic silvery-white metallic element that occurs chiefly in beryl and is used mainly in x-ray windows and in the manufacture of alloys. Symbol: Be, atomic number: 4."
"beta radiation","Ionizing radiation which is produced as a stream of high speed electrons emitted by certain types of radioactive substance when they decay."
"beverage industry","Industry sector which produces beverages."
