"word","definition"
"boundary","The dividing line or location between two areas."
"ballot","The process of voting, especially in secret."
"amulet","Any object whose characteristic is its alleged power to protect its owner from danger or harm."
"talisman","Any object whose characteristic is its alleged power to protect its owner from danger or harm."
"Executive Member of the Managing Board","Member of the board of directors of a corporate entity which has certain delegated power of the administrative board itself."
"bidder","Someone who makes an offer to buy."
"management board member","Member of the board of directors of a corporate entity."
"bullion","A bulk quantity of gold or silver, assessed by weight and typically cast as ingots."
"amplifier","Device which amplifies the intensity of an electrical signal in order to allow for tansmission and reception."
"animation","Film technology for which drawings and objects are recorded in such a way that it seems they move."
"preview","Presentaton of a film, theatre play etc. that is being performed for a special group of spectators and which takes place before the official performance."
"application software","Software that has the scope to solve a specific problem."
"applications software","Software that has the scope to solve a specific problem."
"situation puzzle","A pastime, in the form of a statement or question or phrase having a double or veiled meaning, put forth as a puzzle to be solved."
"enigma","A pastime, in the form of a statement or question or phrase having a double or veiled meaning, put forth as a puzzle to be solved."
"enigma","Any problem where the answer is very complex, possibly unsolvable without deep investigation."
"Nepal Bhasa","One of the major languages of Nepal"
"bottle-green","Of a deep green colour."
"fraud","An act of deception carried out for the purpose of unfair, undeserved, and/or unlawful gain."
"fraud","A person who acts dishonestly."
"insinuate","To subtly suggest something unpleasant."
"illiterate","A person who cannot read and write."
"asylum","A shelter from danger or hardship."
"asylum","A place of safety, refuge or protection."
"doorknob","A device attached to a door, the rotation of which permits the unlatching of a door."
"latch","A fastening for a door that has a bar that fits into a notch or slot, and is lifted by a lever or string from either side."
"audience","A group of people present at a performance."
"audience","A formal interview with a sovereign, high officer of government, or other high-ranking person."
"anniversary","The date on which an event occurred in some previous year."
"apparel","Clothes considered as a group."
"annually","Once a year."
"eel","A snaky edible fish, which lives in freshwater and in the sea."
"eelpout","A predatory fish (Zoarces viviparus) whose young, which look like young eels, are born alive."
"abacus","A Greek and Latin board for calculating or playing."
"abacus","The cover plate of a column as an aid in supporting the architrave."
"figure","The visual representation of a person or an object."
"figure","A drawing or diagram conveying information."
"illustration","The visual representation of a person or an object."
"illustration","An item of information that is representative of a type or class."
"portraiture","The visual representation of a person or an object."
"avenue","A broad, well-paved and landscaped thoroughfare."
"proponent","One who supports something."
"alley","A narrow street, especially one through the middle of a block giving access to the rear of lots or buildings."
"or","If that is not the case."
"or","[Conjunction that indicates an alternative.]"
"upstream","In the opposite direction of the flow of a river or stream."
"upstream","Toward or near the source of a river."
"downstream","In the same direction as the flow of a river or stream."
"downstream","Toward or near the mouth of a river."
"ubiquitous","Being present everywhere at once."
"omnipresent","Being present everywhere at once."
"adequate","Enough to meet the requirement."
"admission","A statement tending to establish the guilt or liability of the person making the statement."
"assumption","The act of taking for granted, or accepting a thing without proof."
"assumption","The act of taking possession of or power over something."
"supposition","That which one holds to be true; the acceptance of a fact, opinion, or assertion as real or true despite a lack of strong evidence or knowledge."
"supposition","The act of taking for granted, or accepting a thing without proof."
"eight-legged","Having eight legs."
"two legged","Having two legs."
"eight legged","Having eight legs."
"one-legged","Having only one leg."
"drizzle","Fine, light rain."
"drizzle","To rain steadily in fine drops."
"mizzle","Fine, light rain."
"enchanted","Being under the influence of a magical spell."
"garlic","(Allium sativum) a perennial herbaceous plant of the Alliaceae family, cultivated for its eatable bulb very appreciated in gastronomy."
"voracious","Devouring or craving food in great quantities."
"edacious","Devouring or craving food in great quantities."
"ravenous","Devouring or craving food in great quantities."
"rapacious","Devouring or craving food in great quantities."
"instigation","Deliberate and intentional triggering of negative actions."
"flounder","Any of various flatfish of the family Pleuronectidae or Bothidae."
"flounder","To act clumsily or confused; to struggle or be flustered."
"musical instrument","A device constructed or modified with the purpose of making music."
"separatist","An advocate of secession or separation from a larger group."
"insurgency","Collective violent action against an established power or arbitrary authority."
"request","The expression of a need or desire."
"request","A formal message requesting something that is submitted to an authority."
"catchment basin","An area of land where all rainwater and melting snow naturally moves to the same body of water."
"approbation","Approbation; a sanctioning of an item."
"approbation","the act of expressing approval or admiration; commendation; laudation."
"provision","Something that is stated as a condition for an agreement."
"ambitious","Striving for power, honour, office, superiority, or distinction."
"appearance","An expression or appearance indicating a certain state of mind."
"appearance","The outward or visible aspect of a person or thing."
"appearance","A thing seen; a phenomenon."
"appearance","The act of appearing or coming into sight."
"appearance","The formal attendance (in court or at a hearing) of a party in an action."
"appearance","The act of appearing in public view."
"appearance","The pretending that something is the case in order to make a good impression."
"assembly","Meeting of people of an organised group of a company or an association etc. in order to take decisions."
"assembly","A set of pieces that work together in unison as a mechanism or device."
"trousseau","An amount paid by the parents of a bride to the groom and or his family."
"obvious","Clear or manifest to the understanding."
"apparent","Clear or manifest to the understanding."
"apparent","Appearing as such but not necessarily so."
"apparent","Capable of being seen, or easily seen; open to view; visible to the eye; within sight or view."
"evident","Clear or manifest to the understanding."
"ally","An associate who provides assistance."
"ally","One united to another by treaty or league."
"teacup","A cup in which tea is served."
"approximation","An inexact representation of something that is still close enough to be useful."
"assistant","A person or persons who provide assistance with some task."
"assistant","Someone who is subordinate to another who assists the latter."
"adjunct","Someone who is subordinate to another who assists the latter."
"appreciation","The understanding of the nature or meaning or quality or magnitude of something."
"appreciation","The understanding of the nature or meaning or quality or magnitude of something."
"lay-out","Organisation of the elements which are part of the whole."
"after-sales service","Service being offered to customers by resellers or producers of consumergoods when the same are broken or do not work properly."
"satisfy","To give pleasure to; to make happy or satisfied."
"satisfy","To do what is asked for, requested; to meet the requirements or expectations of."
"range of products","Various things or products that are present in a shop or that shall be sold."
"memory","The ability of an organism to record information combined with the facility of recall."
"memory","Computer components, devices and recording media that retain data for some interval of time."
"assortment","Various things or products that are present in a shop or that shall be sold."
"asynchronous","Occurring at different times."
"property","Something that is owned."
"property","An abstract quality associated with an object."
"asset","Something that is owned."
"asset","A useful or valuable quality that helps a person succeed."
"ammunition","Projectiles to be fired from a weapon."
"chest of drawers","A piece of furniture with several horizontal drawers stacke one above each other."
"dresser","A piece of furniture with several horizontal drawers stacke one above each other."
"bureau","A piece of furniture with several horizontal drawers stacke one above each other."
"anagram","A word which results of the transposition or displacemente of letters in another word."
"array","A sequence of homogeneous elements of a specific data type."
"anticipation","Consideration of something beforehand."
"absolutely","Without question."
"abroad","Beyond the borders of a country."
"watchful","Carefully observant and or attentive."
"vigilant","Carefully observant and or attentive."
"convenor","The person that not only chairs a meeting but also organises it and calls people to the meeting."
"snow-free","Without snow."
"snowfree","Without snow."
"snowfall","Precipitation in form of snow."
"concert","An act where somebody performs music, theater or a similar art in a live show or concert."
"contraceptive","Means, practice or agent that prevents women to get pregnant."
"contraceptive","Preventing conception and pregnancy."
"attest","To admit the knowledge of something."
"attest","To make something obvious or confirm it."
"attest","To declare or affirm solemnly and formally as true."
"assets","The group of positive components of the economical ownership of a company."
"company agreement","Act which determines the legal relationships within a company."
"deed","Something done voluntarily by a person, and of such a nature that certain legal consequences attach to it."
"deed","A document that is created by a notary or another authorised institution."
"experience","Knowledge and abilities gained by doing something for a certain time; the process of gaining it."
"experience","Something that has happened to you, influencing your thoughts and behaviour; a special event in your life."
"experience","To go or live through; to be affected by a certain situation, to have something happen to oneself."
"experience","To have a distinct physical emotion, feeling or sensation."
"experience","To go through (mental or physical states or experiences)."
"assault","To apply violent force to someone or something."
"assault","To force sexual intercourse or other sexual activity upon another person, without their consent."
"assault","The act of forcing sexual intercourse or other sexual activity upon another person against their will."
"assault","Close fighting during the culmination of a military attack."
"assault","To attack someone physically or emotionally."
"approximately","[Said for a quantity (time, size, place, ...) that is given] in a imprecise way but close to the real value."
"roughly","[Said for a quantity (time, size, place, ...) that is given] in a imprecise way but close to the real value."
"appropriate","Having sufficient or the required properties for a certain purpose or task; appropriate to the occasion."
"appropriate","To take possession of by force."
"appropriate","To assign a resource to a particular person or cause."
"bliss","A state of great joy or happiness."
"activation","When all or a portion of a plan is put into motion."
"activation","The act of making active and effective."
"excruciating","Extremely painful."
"agonizing","Extremely painful."
"advantage","The quality of having a superior position or the chance for success greater than for others."
"advantage","(tennis) first point scored after deuce."
"advantage","Benefit resulting from some event or action."
"inverse","Reversed in order or nature or effect."
"handkerchief","A piece of cloth, usually square and often fine and elegant, carried for wiping the face, nose or hands."
"antiseptic","Method for treating or preventing infectious diseases using antiseptic methods such as sterilization."
"towel","Piece of absorbent fabric or paper used for drying or wiping."
"alternative","A choice between two or more possibilities."
"alternative","Serving or used in place of another."
"alternative","Necessitating a choice between mutually exclusive possibilities."
"alternative","Pertaining to unconventional choices, e.g. life style."
"activist","Someone who as a citizen is politically active."
"anybody","Any one out of an indefinite number of persons."
"acute","Requiring immediate attention."
"acute","In geometry, of an angle, less than 90 degrees."
"acute","Revealing insight and intelligence."
"acute","(Of disease) Characterized by sudden onset of symptoms and short duration."
"urgent","Requiring immediate attention."
"urgent","Needing immediate action."
"usability","The ease with which people can employ a particular tool in order to achieve its particular goal."
"creativity","The ability of a person to create or invent something."
"implementation","Putting in execution (for instance, the execution of a reform, a plan)."
"implementation","The act of the realisation of a plan or a program."
"start-up","The act of setting something in operation."
"health insurance plan","Institution that is subdivided in districts provides medial assistance."
"access","A way or means of approaching or entering."
"access","To reach or gain access to."
"passage","A way or means of approaching or entering."
"passage","A way through or along which someone or something may pass."
"accommodate","To change to reach a certain scope or condition."
"accommodate","To have room for; to hold without crowding."
"accommodate","To be agreeable or acceptable to."
"suit","(Of an object) To be of the right size and shape so as to match another object."
"suit","To change to reach a certain scope or condition."
"suit","A comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy."
"suit","One of several classes of a pack of cards distinguished by color and/or specific emblems"
"suit","A set of men's clothes consisting of trousers and a jacket, traditionally worn with a shirt and a tie."
"suit","To be agreeable or acceptable to."
"bandage","Any therapeutic material that is used to cover an injury."
"cover letter","Letter in which one expresses his/her interest for a specific job offer."
"accountant","A person who maintains the financial records of other people."
"evasive","Inclined or seeking to evade."
"modification","The process of becoming different."
"modification","The act of making something different."
"modification","The result of modifying."
"alteration","The act of contaminating."
"alteration","The process of becoming different."
"alteration","The act of making something different."
"accessory","An associate in the commission of a crime."
"accessory","Clothing that is worn or carried, but not part of your main clothing."
"accessory","That which belongs to something else deemed the principal; something additional and subordinate, an attachment."
"approve","To regard as good."
"testbed","Situation that refers to a relevant or decisive fact to check the accomplishments or the results of a certain situation."
"ban on","Request to stop doing something or to avoid something."
"U.S. dollar","Currency of the United States of America."
"action","Legal actıon that has as a goal to have a judge take a decision."
"action","To satisfy, carry out, bring to completion (an obligation, a requirement, etc.)."
"action","Something done so as to accomplish a purpose."
"loot","Profits from burglary, looting and raids."
"loot","To take the goods of."
"sample","(In statistics) A part of a sum of chosen elements that allow for the representation of a phenomenon  in order to study the same."
"sample","A small quantity of a product, typically provided to test that product before obtaining a greater quantity of it."
"sample","To take a sample of something for analysis."
"chancellery","Place of the public office of a juridical authority."
"arrangement","Music that has been adapted for performance with a different ensemble or musical style."
"arrangement","The manner in which things or persons have been organized; the result of arranging."
"arrangement","The manner in which objects or persons have been organized or arranged; the result of arranging."
"well-being","Feeling well with a high standard of living."
"apparently","From appearances alone."
"seemingly","From appearances alone."
"ostensibly","From appearances alone."
"agenda","A book or a program in which one fixes the planning of time."
"agenda","A sequence of items of business to be covered at a meeting."
"assistance","The contribution to the fulfilment of a need or the furthering of an effort or purpose."
"accelerator","A substance which speeds up chemical reactions."
"accelerator","The mechanism by which an engine's power is increased or decreased."
"accelerator","A device that uses electric fields to propel electrically charged particles to high speeds."
"accelerator","Pedal which increases the speed of a vehicle when pushed."
"Martinique","Island of the Antilles in the Caribbean Sea"
"aggressive","Characteristic of an enemy or one eager to fight."
"backbone","The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves."
"breathless","Without breath, having difficulty breathing."
"gasping","Without breath, having difficulty breathing."
"panting","Without breath, having difficulty breathing."
"stinger","In insects, a pointed instrument used for defense and attack and connected with a poison gland."
"sting","In insects, a pointed instrument used for defense and attack and connected with a poison gland."
"sting","To hurt, usually by introducing poison or a sharp point, or both."
"vertebral column","The body part that consists of a row of vertebrae, that support the head and torso and that forms a canal for nerves."
"travel agency","Business that sells travel related products and services to end-user customers."
"turquoise","Having a colour between blue and green, similar to the mineral turquoise."
"turquoise","A colour between blue and green, similar to the mineral turquoise."
"turquoise","A mineral chiefly consisting of copper and aluminium with a colour varying between blue and bluegreen."
"addiction","A compulsive or chronic need."
"addiction","A dependence on a habit-forming substance such as a drug or alcohol."
"bargain","Anything bought cheap."
"bargain","To negotiate the terms of an exchange."
"dicker","To negotiate the terms of an exchange."
"banker","Someone who owns or is an executive in a bank."
"bankruptcy","A legally declared inability of an individual or organisation to pay their creditors."
"blend","A mixture of two or more things."
"blend","To mix together different things."
"blend","To mix together different elements."
"blend","The creation of a new piece of music by combining several pre-existing sources."
"breakthrough","A productive insight."
"breakthrough","The penetration of a barrier."
"discovery","A productive insight."
"calendar","A tabular array of the days, usually for a year."
"pullover","A thick, warm piece of clothing with long sleeves which is put on over the head."
"suicide attack","An attack committed by a person who knows it will cause his or her own death."
"suicide","The act of a person killing himself intentionally."
"suicide","To end one's own life purposefully."
"suicide","Person who intentionally takes his or her own life."
"suicide","A woman who intentionally takes her own life."
"suicide","A female who intentionally takes her own life."
"suicide","A male who intentionally takes his own life."
"candidate","Someone who is considered for something like a price or a position."
"campaign","A series of operations undertaken to achieve a set goal."
"campaign","A series of military actions by a regular army."
"campaign","A series of actions advancing a principle or tending toward a particular end."
"characteristic","A distinguishing quality."
"characteristic","Typical or distinctive."
"Cairo","The capital of Egypt."
"cash","Money in the form of bills and coins."
"cash","To receive an amount due."
"incorrigible","Impossible to correct or set right."
"stub","An article in Wikipedia that is too short but has merit. It is a mark indicating a need for more work."
"death wish","A strong desire to die."
"dreamlike","Resembling a dream."
"oneiric","Resembling a dream."
"customer","Someone who pays for goods or services."
"client","Someone who pays for goods or services."
"client","An application or system that accesses a remote service on another computer system, known as a server, by way of a network."
"patron","Someone who pays for goods or services."
"comic","A magazine or book containing the sequential art form of a graphic novel."
"comic","A professional performer who tells jokes and or performs comical acts."
"comedian","A professional performer who tells jokes and or performs comical acts."
"chairman","The presiding officer of a meeting, organization, committee, or other deliberative body."
"cholesterol","A lipid from the sterol family both made by the body and consumed in food products that come from animals."
"clinic","A place where people who are ill or injured are treated and taken care of by doctors and nurses."
"chassis","The base frame of a motor vehicle."
"evasively","In a evasive way."
"foreign minister","A government minister who helps form the foreign policy of a sovereign state."
"centerline","Imaginary line in a boat dividing the boat into two equal parts."
"character","A symbol used to represent a sound or a word."
"character","The inherent complex of attributes that determine a persons moral and ethical actions and reactions."
"associate","To join or unite, as one thing to another, or as several particulars, so as to increase the number, augment the quantity, enlarge the magnitude, or so as to form into one aggregate; to sum up; to put together mentally, as, to add numbers; to add up a column."
"associate","A person who joins with others in some activity."
"associate","To connect or to establish a relation."
"botch","To cause something to have an unsatisfying, irritating or unusable result."
"adequately","In a manner that is equal to some requirement."
"sufficiently","In a manner that is equal to some requirement."
"satisfactorily","In a manner that is equal to some requirement."
"admit","To concede as true."
"admit","To allow to enter; to grant entrance."
"admit","To admit to be true."
"admit","To have room for; to hold without crowding."
"admit","To allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of."
"admit","To afford possibility."
"admit","To admit into a group or community."
"achievement","An action that requires great skills to be performed successfully."
"achievement","Getting a result by exertion."
"desirous","Having or expressing desire for something."
"acceptance","The mental attitude that something is believable and should be accepted as true."
"credence","The mental attitude that something is believable and should be accepted as true."
"workshop","Ample industrial building with only one floor being used for the storage of materials and goods, the parking of vehicles or as place where industrial and artisan work is performed."
"workshop","A room or building in which work, especially mechanical work, is carried on."
"academy","An institution of higher education and of research, which grants academic degrees."
"academy","A society of learned men united for the advancement of the arts and sciences."
"academy","A school or place of training in which some special art is taught."
"real capital","Capital that consists of equipment and machines that are used to produce goods."
"eager","Full of yearning."
"eager","Characterized by intense emotion."
"eager","Having or showing keen interest, intense desire, or impatient expectancy."
"eager","A wave caused by an incoming tide traveling up an estuary."
"distinctive feature","A defining characteristic."
"kamikaze","Japanese aircraft pilot who committed suicide by crashing his aircraft on enemy targets during the Second World War."
"focus","A special point used to define a conic section."
"focus","To cause (rays of light, etc.) to converge at a single point."
"focus","To concentrate one’s attention."
"focus","To put (an image) into focus."
"transfer","The act of transferring ownership."
"transfer","To move persons from one place to another."
"transfer","To move (objects or information) from one place to another."
"system","The whole of the structures and relations that allow for the passage of goods from the seller to the customer and of the money from the customer to the seller."
"system","A collection of organized things"
"system","A whole composed of relationships among the members."
"system","An orderly combination of related parts."
"subject to civil law","What is subject to civil law."
"clientele","The group of all customers of a shop, a public local, an office etc."
"civil code","Organic and systematic collection of laws and codes that rule publicly the civil relationships."
"bonnet","The second chamber in the alimentary canal of a ruminant animal"
"involve","To cause an active participation."
"appreciate","To be grateful or thankful for."
"appreciate","To view as valuable."
"appreciate","to raise in value."
"stump","The short piece left over after cutting off the most part."
"stump","A small remaining portion of the trunk of a tree with the roots still in the ground."
"diagnosis","The result of identifying the nature and cause of something."
"abhor","To shrink back with shuddering from something."
"abhor","To detest on a high degree; to hate completely."
"loathe","To shrink back with shuddering from something."
"loathe","To detest on a high degree; to hate completely."
"detest","To dislike intensely; to feel strong hostility towards."
"detest","To shrink back with shuddering from something."
"repartee","A swift, witty retort."
"diagram","A plan, drawing, sketch or outline to show how something works, or show the relationships between the parts of a whole."
"designer","Someone who creates plans to be used in making something."
"supervisory board","Controlling body of corporations that controlls the administration for the associates."
"demonstration","Showing and explaining something."
"demonstration","A public exhibition of the attitude of a group of persons toward a controversial issue."
"deposit","A place where something is deposited, as for storage, safekeeping, or preservation."
"deposit","Money placed in an account."
"deposit","To put into a bank account."
"deposit","Payment or depositing of a sum of money."
"deposit","Matter deposited by some natural process."
"deposit","A natural concentration of rocks, minerals or paleontological remains."
"cost component","Each of the elements that is part of the cost."
"components industry","Industry that produces the components of complex systems, that is for industries that produce the finished product."
"democratic","Constructed upon the principle of government by the people."
"diplomat","A person, such as an ambassador, who represents a government in its relations with other governments."
"invention","The act of creating something new, especially as a technical device."
"whip","A long piece of leather or rope attached to a handle, which is used to slash at animals to make them move, or to punish people."
"whip","A political party official, whose responsibility it is to make sure that party members attend important parliamentary debates and cast their vote."
"whip","A sweet dish made from cream, eggs, sugar and fruit mixed together."
"whip","To hit a person or an animal with a whip or rod."
"whip","To move quickly and suddenly or violently in a particular direction."
"whip","To remove or pull something quickly and suddenly."
"whip","To stir cream or egg white very quickly until it becomes stiff."
"whip","To defeat thoroughly."
"flog","To punish somebody by hitting them repeatedly with a whip or stick."
"Deputy","A member of the Dáil Éireann, or the title of a member of Dáil Éireann."
"deputy","Someone appointed as the substitute of another, and empowered to act for him, in his name or on his behalf."
"deputy","A person appointed to represent or act on behalf of others."
"whistle","A small metal or plastic tube that produces a high and loud sound when blown. It is used as a signal or to attract attention."
"whistle","The sound made by the blowing of a whistle."
"whistle","The sound made by forcing air out between closed lips."
"whistle","The high loud sound made by air or steam when forced through a small aperture."
"whistle","To make a sound or a melody by forcing the breath out between closed lips."
"whistle","To produce a high sound by blowing through a whistle."
"whistle","To make a high (whistling) sound (a bird, a kettle, the wind etc.)."
"ebb","The tide at the point of maximum ebb."
"low tide","The tide at the point of maximum ebb."
"high tide","The level of water when the tide is at its highest level."
"high tide","The time when the tide is highest."
"overdose","The deliberate or accidental ingestion of an excessive dose of a pharmaceutically active substance."
"overdose","To take an excessive dose of a substance."
"incessant","Without interruption."
"incessant","Without break, cessation or interruption."
"for days","Lasting several days."
"for weeks","Lasting several weeks."
"for hours","Lasting several hours."
"for minutes","Lasting several minutes."
"for seconds","Lasting several seconds."
"for months","Lasting several months."
"for years","Lasting several years."
"for decades","Lasting several decades."
"for centuries","Lasting several centuries."
"for millennia","Lasting several millennia."
"yawn","To open the mouth widely and take a long, deep breath because of tiredness or boredom."
"gourmet","A person who enjoys choosing, eating and drinking high quality food and wines and who knows a lot about them."
"gastronome","A person who enjoys choosing, eating and drinking high quality food and wines and who knows a lot about them."
"epicure","A person who enjoys choosing, eating and drinking high quality food and wines and who knows a lot about them."
"epicurean","A person who enjoys choosing, eating and drinking high quality food and wines and who knows a lot about them."
"connoisseur","A person who enjoys choosing, eating and drinking high quality food and wines and who knows a lot about them."
"connoisseur","A person with superior, usually specialized knowledge or highly refined taste."
"foodie","A person who enjoys choosing, eating and drinking high quality food and wines and who knows a lot about them."
"oenophile","A person who enjoys choosing and drinking high quality wine and who knows a lot about it."
"wine connoisseur","A person who enjoys choosing and drinking high quality wine and who knows a lot about it."
"gourmet of wine","A person who enjoys choosing and drinking high quality wine and who knows a lot about it."
"oenophilist","A person who enjoys choosing and drinking high quality wine and who knows a lot about it."
"jewel","A precious stone such as a diamond, a sapphire or an agate."
"jewel","Pieces of jewellery or ornaments that contain precious stones."
"jewel","A small precious stone or piece of colored glass used in the machinery of a watch."
"jewel","A very important or valuable thing or person."
"treasure","A very important or valuable thing or person."
"gem","A valuable stone that has been cut and polished and is used in jewellery."
"gemstone","A valuable stone that has been cut and polished and is used in jewellery."
"necessary","Needed for a purpose or a reason."
"necessary","That cannot be avoided."
"essential","Needed for a purpose or a reason."
"essential","Of basic importance."
"obligatory","Needed for a purpose or a reason."
"inevitable","That cannot be avoided."
"required","Needed for a purpose or a reason."
"unavoidable","That cannot be avoided."
"compulsory","Needed for a purpose or a reason."
"inescapable","That cannot be avoided."
"mandatory","Needed for a purpose or a reason."
"inexorable","That cannot be avoided."
"indispensable","Needed for a purpose or a reason."
"predetermined","That cannot be avoided."
"ineluctable","That cannot be avoided."
"vital","Needed for a purpose or a reason."
"vital","Extremely important."
"conscious","Noticing something; aware of something."
"conscious","Able to use one's senses and mental abilities to perceive one's surroundings and understand the current situation."
"conscious","(doing or feeling something) in a deliberate or controlled way."
"conscious","Being particularly interested in something; caring about something a lot."
"aware","Able to use one's senses and mental abilities to perceive one's surroundings and understand the current situation."
"conscious of","Noticing something; aware of something."
"aware of","Noticing something; aware of something."
"alert to","Noticing something; aware of something."
"deliberate","(doing or feeling something) in a deliberate or controlled way."
"intentional","(doing or feeling something) in a deliberate or controlled way."
"intended","(doing or feeling something) in a deliberate or controlled way."
"calculated","Arrived at or determined by mathematical calculation."
"calculated","Carefully thought out or planned."
"volitional","(doing or feeling something) in a deliberate or controlled way."
"wilful","(doing or feeling something) in a deliberate or controlled way."
"on purpose","(doing or feeling something) in a deliberate or controlled way."
"on purpose","With intention; in an intentional manner."
"terrain","Land or an area of a particular type."
"terrain","A tract of land of undefined size."
"determination","The quality of insisting to do or achieve something."
"determination","The act of intending to do something."
"distinct","Very clear."
"demonstrate","To display the method of using an object."
"demonstrate","To give a proof that something is true."
"demonstrate","To prove and cause to be accepted as true."
"demonstrate","To take part in a public demonstration."
"prove","To give a proof that something is true."
"discount","A reduction of the selling price of something or of the total cost of an invoice."
"discount","The act of abating or the state of being abated."
"moniker","An informal, often humorous name; a name that is either connected to the real name, the personality, the appearance or an anecdote."
"nickname","An informal, often humorous name; a name that is either connected to the real name, the personality, the appearance or an anecdote."
"nickname","To give a nickname to (a person or thing)."
"sobriquet","A descriptive term accompanying or occurring in place of a name."
"sobriquet","An informal, often humorous name; a name that is either connected to the real name, the personality, the appearance or an anecdote."
"byname","An informal, often humorous name; a name that is either connected to the real name, the personality, the appearance or an anecdote."
"epithet","An informal, often humorous name; a name that is either connected to the real name, the personality, the appearance or an anecdote."
"epithet","A descriptive term accompanying or occurring in place of a name."
"cognomen","An informal, often humorous name; a name that is either connected to the real name, the personality, the appearance or an anecdote."
"appellation","An informal, often humorous name; a name that is either connected to the real name, the personality, the appearance or an anecdote."
"crush","To press or squeeze something so hard that it causes damage or deforms the object; to press or squeeze someone so hard that it injures him or her."
"crush","To push or press something into a small confined space."
"crush","To break something into small pieces by pressing it flat, or grinding it to powder."
"crush","To defeat an opponent overwhelmingly, using great force or violence."
"crush","To destroy somebody's confidence or happiness; to humiliate."
"crush","A crowd of people pressed close together in a small space."
"crush","A strong feeling of love, often for just a short time, usually by an adolescent."
"crush","A drink made from fruit juice."
"crush","To end in success a struggle or contest."
"crush","To tighten (something) so strongly that it loses the form and the original consistency"
"grind","To break something into small pieces by pressing it flat, or grinding it to powder."
"grind","Hard monotonous routine work."
"grind","An insignificant student who is ridiculed as being affected or boringly studious."
"grind","To shape or form by grinding."
"quell","To defeat an opponent overwhelmingly, using great force or violence."
"mortify","To destroy somebody's confidence or happiness; to humiliate."
"infatuation","A strong feeling of love, often for just a short time, usually by an adolescent."
"squash","A squash fruit of the Cucurbita genus, most commonly orange in colour when ripe and traditionally used during Halloween."
"squash","To press or squeeze something so hard that it causes damage or deforms the object; to press or squeeze someone so hard that it injures him or her."
"squash","A drink made from fruit juice."
"squash","A game played in a walled court with soft rubber balls and bats like tennis rackets."
"squash","A concentrated beverage produced by boiling fruit juice with sugar for the purpose of prolonging the time it may be used, possibly with addition of preservatives. It is diluted with water prior to consumption."
"pulverize","To break something into small pieces by pressing it flat, or grinding it to powder."
"stamp out","To defeat an opponent overwhelmingly, using great force or violence."
"humiliate","To destroy somebody's confidence or happiness; to humiliate."
"throng","A crowd of people pressed close together in a small space."
"throng","A large group of people."
"throng","To press tightly together or cram."
"puppy love","A strong feeling of love, often for just a short time, usually by an adolescent."
"mash","To press or squeeze something so hard that it causes damage or deforms the object; to press or squeeze someone so hard that it injures him or her."
"crumble","To break something into small pieces by pressing it flat, or grinding it to powder."
"crumble","To reduce in small fragments."
"overpower","To defeat an opponent overwhelmingly, using great force or violence."
"demoralize","To destroy somebody's confidence or happiness; to humiliate."
"composition","The way in which a certain structure, organism etc. is built."
"composition","The proportion of different parts to make a whole."
"configuration","The way in which a certain structure, organism etc. is built."
"conception","The whole of ideas and theories referring to a theme."
"conception","The act of becoming pregnant (a female)."
"attainment","The capacity to do something well. They are usually acquired or learned, as opposed to abilities, which are often thought of as innate."
"attainment","Reach what was supposed to be reached."
"enable","To make something possible or allow for something."
"administrative board","Council which is in charge with the administration and management of a company (the term is in particular referred to corporations)."
"administrative council","Council which is in charge with the administration and management of a company (the term is in particular referred to corporations)."
"cost containment","In economical context, the limiation and reduction of costs."
"orthography","The study of correct spelling according to established usage."
"daily newspaper","A daily or twice daily published publication (usually printed on cheap, low-quality paper) that contains news and other articles."
"regular hexahedron","A three-dimensional polyhedron, bounded by six square sides of equal size; one of the five Platonic solids"
"hexahedron","A three-dimensional polyhedron, bounded by six square sides of equal size; one of the five Platonic solids"
"liquidated damages","A payment to which the contractual partner is entitled if the contractor does not or not adequately fulfill his contractual obligations."
"contractual penalty","A payment to which the contractual partner is entitled if the contractor does not or not adequately fulfill his contractual obligations."
"contract penalty","A payment to which the contractual partner is entitled if the contractor does not or not adequately fulfill his contractual obligations."
"devaluation","The deliberate lowering of a currency's value compared to another currency or a standard value."
"defendant","Any party who is required to answer the complaint of a plaintiff in a civil lawsuit before a court."
"accused","Any party who is required to answer the complaint of a plaintiff in a civil lawsuit before a court."
"directory","An alphabetical list of names and addresses."
"directory","A structured listing of the names and characteristics of the files on a storage device."
"diluted","Reduced in strength or concentration or quality or purity."
"declaration","An emphatic and explicit announcement."
"tunic","Old Roman undergarment."
"statement","An emphatic and explicit announcement."
"statement","What is being told in a clear and orderly manner."
"describe","To give an account or representation in words."
"describe","To give a description of."
"describe","To identify as in botany or biology, for example."
"data","Information expressed in bits and bytes or numbers; the raw material of information."
"bereave","To take away someone or something important or close."
"define","To give a definition for the meaning of a word."
"devastating","Being severely destructive."
"devastating","Brought to ruin or reduced to complete disorder."
"default","A value that is used when no value is specified."
"default","To fail to meet an obligation."
"default","Missing fulfillment of a certain obligation or a obligation by law or a contract."
"default","Failure of a debtor to meet his financial obligations."
"default","To fail to meet financial obligations; to fail to pay up."
